,,,Android version,,,,,,,,,,,,,,,,,,,,
,,API version:,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,,
,URL,Date,1.1,1.5,1.6,2.0,2.0.1,2.1,2.2,2.3-2.3.2,2.3.3-2.3.7,3.0,3.1,3.2,4.0-4.0.2,4.0.3-4.0.4,4.1,4.2,4.3,4.4,5.0,,Total
,http://www.androidpolice.com/2010/04/14/google-updates-fragmentation-statistics-70-still-stuck-with-android-1-5-and-1-6-23-secretly-cry-about-it-every-night/,2009-12-14,0.3,27.7,54.2,2.9,14.8,,,,,,,,,,,,,,,,99.9
,http://www.geekzone.co.nz/ald/7105,2010-01-04,0.3,31.0,47.6,0.7,20.4,,,,,,,,,,,,,,,,100
No data was released for February and March 2010,http://www.androidpolice.com/2010/04/14/google-updates-fragmentation-statistics-70-still-stuck-with-android-1-5-and-1-6-23-secretly-cry-about-it-every-night/,2010-04-12,0.1,38.0,31.6,0.3,2.7,27.3,,,,,,,,,,,,,,,100
,http://www.androidguys.com/2010/05/03/latest-platform-versions-show-15-biggest-chunk-android-pie/,2010-05-03,0.1,37.2,29.4,0.3,0.6,32.4,,,,,,,,,,,,,,,100
,http://androidbloke.co.uk/2010/05/18/android-device-market-share-still-split-in-hung-parliament/,2010-05-17,0.1,34.1,28.0,0.2,0.4,37.2,,,,,,,,,,,,,,,100
,http://phandroid.com/2010/06/17/android-2-1-takes-up-half-of-the-pie-in-latest-firmware-versions-chart/,2010-06-16,0.1,24.6,25.0,0.1,0.3,50.0,,,,,,,,,,,,,,,100.1
,http://news.softpedia.com/newsImage/Android-2-2-Froyo-Takes-Its-Share-of-the-Android-Pie-2.png/,2010-07-01,,21.3,23.5,,,53.1,1.8,,,,,,,,,,,,,,99.7
,http://www.androidpolice.com/2010/08/04/platform-version-update-froyo-trickles-in-eclair-up-still-too-much-cupcake-donut-but-were-all-still-eating-too-much-sugar-and-fat/,2010-08-02,,15.3,20.3,,,59.7,4.5,,,,,,,,,,,,,,99.8
,http://news.softpedia.com/newsImage/Android-Distribution-Changes-2-1-Going-Down-2-2-Goes-Up-2.png/,2010-09-01,,12.0,17.5,,,41.7,28.7,,,,,,,,,,,,,,99.9
,http://news.softpedia.com/newsImage/Android-2-2-Froyo-on-33-4-Active-Android-Handsets-2.png/,2010-10-01,,9.7,16.4,,,40.4,33.4,,,,,,,,,,,,,,99.9
,http://news.softpedia.com/newsImage/Android-2-2-Now-on-36-2-Active-Handsets-2.png/,2010-11-01,,7.9,15.0,,,40.8,36.2,,,,,,,,,,,,,,99.9
,http://news.softpedia.com/newsImage/Android-2-2-Froyo-Now-on-43-4-Active-Android-Devices-2.png/,2010-12-01,,6.3,10.6,,,39.6,43.4,,,,,,,,,,,,,,99.9
,http://news.softpedia.com/newsImage/Android-2-2-Froyo-on-51-8-Active-Android-Devices-2.png/,2011-01-04,,4.7,7.9,,,35.2,51.8,0.4,,,,,,,,,,,,,100
,http://news.softpedia.com/newsImage/Android-2-2-Now-on-57-6-Active-Android-Devices-2.png/,2011-02-02,,3.9,6.3,,,31.4,57.6,0.8,,,,,,,,,,,,,100
,http://news.softpedia.com/newsImage/Android-2-2-Powers-61-3-of-Active-Android-Devices-4.png/,2011-03-15,,3.0,4.8,,,29.0,61.3,0.7,1.0,0.2,,,,,,,,,,,100
,http://news.softpedia.com/newsImage/Android-2-2-on-63-9-of-Active-Android-Devices-2-3-x-on-2-5-3.png/,2011-04-01,,2.7,3.5,,,27.2,63.9,0.8,1.7,0.2,,,,,,,,,,,100
,http://www.macobserver.com/tmo/article/99.7_of_android_devices_vulnerable_to_data_leak,2011-05-02,,2.0,3.0,,,24.5,65.9,1.0,3.0,0.3,,,,,,,,,,,99.7
,http://www.androidcentral.com/android-version-numbers-show-slight-uptick-gingerbread,2011-06-01,,1.9,2.5,,,21.2,64.6,1.1,8.1,0.3,0.3,,,,,,,,,,100
,http://news.softpedia.com/newsImage/Gingerbread-Now-on-18-6-Active-Android-Devices-2.png/,2011-07-05,,1.4,2.2,,,17.5,59.4,1.0,17.6,0.4,0.5,,,,,,,,,,100
,http://www.distimo.com/blog/2011_08_gingerbread-rising-android-2-3-now-on-24-3/,2011-08-01,,1.3,2.0,,,15.2,55.9,0.6,23.7,0.4,0.7,0.2,,,,,,,,,100
,http://news.softpedia.com/newsImage/Gingerbread-on-31-3-Active-Android-Devices-Froyo-Still-King-at-51-2-2.png/,2011-09-02,,1.0,1.8,,,13.3,51.2,0.6,30.7,0.2,0.7,0.5,,,,,,,,,100
,http://news.softpedia.com/newsImage/Gingerbread-Loaded-on-38-7-Active-Android-Devices-3.png/,2011-10-03,,1.1,1.4,,,11.7,45.3,0.5,38.2,0.2,0.9,0.7,,,,,,,,,100
,http://www.electronicsweekly.com/eyes-on-android/reports/android-in-the-wild-gingerbread-overtakes-froyo-2011-11/,2011-11-03,,0.9,1.4,,,10.7,40.7,0.5,43.9,0.1,0.9,0.9,,,,,,,,,100
,http://news.softpedia.com/newsImage/Over-Half-of-Active-Android-Devices-Run-Gingerbread-3.png/,2011-12-01,,0.8,1.3,,,9.6,35.3,0.5,50.1,0.1,1.1,1.2,,,,,,,,,100
,http://www.apps4android.org/?p=3150,2012-01-03,,0.6,1.1,,,8.5,30.4,0.6,54.9,0.1,1.5,1.7,0.3,0.3,,,,,,,100
,http://www.apps4android.org/?p=3480,2012-02-01,,0.6,1.0,,,7.6,27.8,0.5,58.1,0.1,1.4,1.9,0.3,0.7,,,,,,,100
,http://www.droid-life.com/2012/03/06/android-distribution-charts-updated-for-march-not-much-has-changed-as-expected/,2012-03-05,,0.4,0.8,,,6.6,25.3,0.5,61.5,0.1,1.1,2.1,0.4,1.2,,,,,,,100
,http://techbullets.blogspot.co.uk/2012/04/android-platforms-version-distribution.html,2012-04-02,,0.3,0.7,,,6.0,23.1,0.5,63.2,0.1,1.0,2.2,0.5,2.4,,,,,,,100
,http://www.techrj.com/2012/05/android-version-distribution-report-for-april/,2012-05-01,,0.3,0.7,,,5.5,20.9,0.5,63.9,0.1,1.0,2.2,0.5,4.4,,,,,,,100
,http://news.softpedia.com/newsImage/Ice-Cream-Sandwich-Now-on-7-1-Active-Android-Devices-3.jpg/,2012-06-01,,0.3,0.6,,,5.2,19.1,0.4,64.6,,0.7,2.0,0.4,6.7,,,,,,,100
,http://news.softpedia.com/newsImage/Ice-Cream-Sandwich-Now-on-10-9-Active-Android-Devices-2.png/,2012-07-02,,0.2,0.5,,,4.7,17.3,0.4,63.6,,0.5,1.9,0.2,10.7,,,,,,,100
,http://news.softpedia.com/newsImage/Ice-Cream-Sandwich-Now-on-15-9-Android-Devices-Jelly-Bean-on-0-8-3.png/,2012-08-01,,0.2,0.5,,,4.2,15.5,0.3,60.3,,0.5,1.8,0.1,15.8,0.8,,,,,,100
,http://weblog.cenriqueortiz.com/general/2012/09/29/android-platform-versions-2012/,2012-09-04,,0.2,0.4,,,3.7,14.0,0.3,57.2,,0.5,1.6,0.1,20.8,1.2,,,,,,100
,http://www.droid-life.com/2012/10/02/android-distribution-charts-updated-same-gingerbread-story-just-another-month/,2012-10-01,,0.1,0.4,,,3.4,12.9,0.3,55.5,,0.4,1.5,,23.7,1.8,,,,,,100
,https://web.archive.org/web/20121104031217/http://developer.android.com/about/dashboards/index.html,2012-11-01,,0.1,0.3,,,3.1,12.0,0.3,53.9,,0.4,1.4,,25.8,2.7,,,,,,100
,https://web.archive.org/web/20121204142050/http://developer.android.com/about/dashboards/index.html,2012-12-03,,0.1,0.3,,,2.7,10.3,0.2,50.6,,0.4,1.2,,27.5,5.9,0.8,,,,,100
,https://web.archive.org/web/20130104011027/http://developer.android.com/about/dashboards/index.html,2013-01-03,,,0.2,,,2.4,9.0,0.2,47.4,,0.4,1.1,,29.1,9.0,1.2,,,,,100
