Name,f,,u,,m,,score (out of 10),
Galaxy Nexus,0.5210261711224922,0.0034242797597099014,0.5425268666716804,0.007169569359826752,1.5334448160535117,0.038235628594044224,4.77662664680069,0.042094158974022806
Nexus 4,0.4395373291272345,0.003903520902919966,0.8204858236844166,0.01129478307601233,5.806763285024155,0.08875828286458823,4.2375955783155845,0.03734277401074469
Nexus 7,0.3306431586789173,0.003706703203695591,0.7319678510652233,0.010785934437724494,5.80306905370844,0.0912583823067165,3.5365313559746565,0.03563089061796632
HTC Desire,0.17098856301664592,0.004006441907255933,0.0767027822386216,0.008019471614524392,0.4530612244897959,0.026125291192655147,3.2458616757561995,0.047145881267901216
other,0.09367199660393377,0.0003466011843674297,0.137419249404116,0.00043775385753608455,0.5176848874598071,0.00024498886688415026,3.027308196147628,0.0019403752400937338
Desire HD,0.08011599005799502,0.0024709986139969144,0.05195174558351043,0.0037263405730005757,0.37942122186495175,0.023398564402757442,2.9139181903543845,0.03700620998838286
GT-I9000,0.03256827798435697,0.002009963171158961,0.023044268821562408,0.0049102135655798565,0.3854166666666667,0.030209952743215262,2.628332698868267,0.046786244723413
DROIDX,0.01573286241772355,0.0015767077401279872,0.03599920879038432,0.006856171372071214,0.47104247104247104,0.031160364198385925,2.477146282390823,0.04919438033898132
HTC Sensation Z710e,0.3454826990649753,0.0036697411897466782,0.00658294194054029,0.006025662269163371,1.5674931129476584,0.05208474765061533,2.437123994197167,0.05033420528790849
GT-I9100,0.21738241810348352,0.0011793427645158314,0.015871899322936214,0.0017025192640078481,1.2551020408163265,0.01787090724086664,2.2480545752510186,0.01977151990309463
HTC Desire S,0.020796112341885227,0.001206346934338508,0.01576375834768791,0.004180972511812191,1.0,0.05984460439247622,1.7441242526305754,0.07186475323788809
GT-N7000,0.24572632583286952,0.002714480900763269,0.0006144074414217459,0.0035978694787575797,2.518783542039356,0.04763507164855722,1.4320595048492821,0.02496481296256182
GT-P1000,0.009481882831019302,0.000891695930797141,0.0,0.006355139221684018,1.78839590443686,0.0574779048253312,0.8975445487354141,0.04656239476508648
GT-I9505,0.08799894612040575,0.0018772680230614324,0.1300530246119956,0.004570552718596026,6.933673469387755,0.07084641321010031,0.747995655775074,0.015638626216017887
GT-I9300,0.14423172798883238,0.0014322012646605323,0.01183592405790668,0.002204561067438108,6.332338308457712,0.04522681876493277,0.6230829829747978,0.008763054152405358
HTC Desire HD A9191,0.0,0.0,0.00039971531892537274,0.0069939000206384406,3.031539888682746,0.053871402489566844,0.2773261880130842,0.025330015556080155
GT-N7100,0.06194256591198667,0.0016874478867480141,0.0008569897256028643,0.005821559322310622,6.682352941176471,0.08284353768815376,0.25784878720640325,0.01873394031509958
Symphony W68,0.0,0.0,0.0,0.009067086819831106,11.011278195488721,0.12115398464533848,9.90847274994654e-05,0.027201263108331663
