Name,f,,u,,m,,score (out of 10),
T-Mobile,0.25847785783013777,0.0021208642500758486,0.19171805206721826,0.002894910995419012,0.4225621414913958,0.0148268929071017,3.9844884776891094,0.024496465328916132
O2 uk,0.28729586701730464,0.0025783206056055326,0.12045786283686934,0.002343539007226736,0.3543990086741016,0.015379463628598128,3.9844535423833785,0.02560763197731483
Orange,0.2212249208025343,0.0036048237827018656,0.1116608043482624,0.003561275350459271,0.3407821229050279,0.022407316550425476,3.7135991117290263,0.037260246542072516
Sprint,0.19575273338940286,0.002348833141761634,0.11084057390178627,0.0021582373822964344,0.4139650872817955,0.01603801514329858,3.50330315393494,0.02572416145788715
3,0.19967083115134285,0.0024448919115455745,0.09392662654838423,0.0025431082207330157,0.44310344827586207,0.021053829665444463,3.4264735759346765,0.032536899943454475
Vodafone uk,0.13597647535996754,0.002440603200520182,0.13028167776847116,0.003501951131687742,0.49455337690631807,0.024285269071558216,3.2076799142062544,0.03716666673117614
AT&T,0.14224736436101826,0.001771267577875826,0.07727955949694551,0.0016206675411434435,0.4146341463414634,0.014963211578593202,3.1876369083827356,0.02316016509965483
unknown,0.1534071305347901,0.001366407665562806,0.20231626056375404,0.0021083012378122212,0.795863309352518,0.014364324808240285,3.0860438545817805,0.02026898123422594
Verizon,0.1944673902603016,0.0017347373561592732,0.08529057931328035,0.0015456140272054478,0.6672428694900605,0.014991312430790028,3.0684281974585335,0.021817981110239172
n Telenor,0.07212669429819649,0.0009680428764177837,0.13057779760324695,0.00216462283523889,1.3070539419087137,0.020336190512027043,1.9581216328781812,0.021805220716925547
Airtel,0.056975851685658614,0.0012594286781919554,0.03229664562606599,0.0014770467055544368,2.272727272727273,0.03618969668065176,0.8852353719218253,0.019573502513001717
Grameenphone,0.0035494297737390986,0.0002077016628552247,0.03915475797915612,0.0010185667096826298,2.725571725571726,0.029025565890573014,0.5005490978937566,0.010536000031398736
Robi,7.515124187427197e-05,5.313795593965094e-05,0.0783872166413839,0.0024568557406741912,3.1580645161290324,0.053294348733907655,0.4801103780017516,0.014518562799551243
banglalink,0.00011345157508603411,6.549758169783633e-05,0.03747212562729284,0.0015583279873286216,3.122923588039867,0.0520599536961823,0.3658993086462372,0.013457977325072014
